playerId,position,season,team,league,gamesPlayed,goals,assists,points,pim,plusMinus,avgToi,faceoffPct,gameWinningGoals,otGoals,powerPlayGoals,powerPlayPoints,shGoals,shPoints,shots
8482896,C,2025-2026,Buffalo Sabres,NHL,45,2,3,5,2,-1,673,0.484043,0,0,0,0,0,0,30
8481522,C,2025-2026,Buffalo Sabres,NHL,81,12,27,39,78,13,822,0.435622,4,0,0,1,0,0,91
8483468,C,2025-2026,Buffalo Sabres,NHL,12,3,2,5,4,-4,982,0.417178,0,0,0,0,0,0,20
8479359,L,2025-2026,Buffalo Sabres,NHL,80,7,7,14,38,1,672,0.4,0,0,0,0,1,1,72
8480802,C,2025-2026,Buffalo Sabres,NHL,81,14,40,54,16,25,1057,0.476636,1,0,0,7,5,6,90
8480064,C,2025-2026,Buffalo Sabres,NHL,43,12,21,33,28,10,948,0.494828,3,0,2,9,0,0,67
8483500,C,2025-2026,Buffalo Sabres,NHL,60,11,16,27,14,11,838,0.315018,1,0,2,6,0,0,60
8476871,L,2025-2026,Winnipeg Jets,NHL,52,7,6,13,25,7,653,0.2,2,0,0,0,0,0,49
8476871,L,2025-2026,Buffalo Sabres,NHL,3,0,1,1,2,2,471,0.0,0,0,0,0,0,0,3
8482097,R,2025-2026,Buffalo Sabres,NHL,81,20,31,51,18,5,937,0.25,4,0,4,11,0,0,186
8479420,C,2025-2026,Buffalo Sabres,NHL,81,40,41,81,35,-6,1155,0.454545,5,0,6,24,0,1,272
8477949,R,2025-2026,Buffalo Sabres,NHL,78,32,33,65,57,23,1138,0.473118,2,1,7,9,3,5,194
8475722,L,2025-2026,Buffalo Sabres,NHL,62,24,21,45,23,-5,937,0.387097,7,0,10,16,0,0,128
8481524,D,2025-2026,Buffalo Sabres,NHL,81,11,31,42,48,16,1343,0.0,5,1,1,7,0,1,109
8480839,D,2025-2026,Buffalo Sabres,NHL,77,19,55,74,76,18,1451,0.0,0,0,6,22,0,0,194
8480891,D,2025-2026,Buffalo Sabres,NHL,33,0,2,2,50,-2,801,0.0,0,0,0,0,0,0,46
8484305,D,2025-2026,Buffalo Sabres,NHL,42,2,4,6,8,17,653,0.0,1,0,0,0,0,0,24
8482671,D,2025-2026,Buffalo Sabres,NHL,80,8,19,27,16,8,1299,0.0,0,0,0,0,0,3,119
8480807,D,2025-2026,Buffalo Sabres,NHL,78,13,28,41,28,41,1370,0.0,3,1,0,0,1,3,109
8474568,D,2025-2026,Winnipeg Jets,NHL,46,1,6,7,32,-11,824,0.0,0,0,0,0,0,0,32
8474568,D,2025-2026,Buffalo Sabres,NHL,3,0,0,0,9,-2,769,0.0,0,0,0,0,0,0,2
8479378,D,2025-2026,Winnipeg Jets,NHL,59,9,12,21,99,-2,1032,0.0,1,0,0,1,0,0,74
8479378,D,2025-2026,Buffalo Sabres,NHL,16,0,5,5,29,5,877,0.0,0,0,0,0,0,0,19
8479982,D,2025-2026,Buffalo Sabres,NHL,38,0,8,8,16,-8,1129,0.0,0,0,0,0,0,0,40
8477416,R,2025-2026,Tampa Bay Lightning,NHL,79,11,20,31,14,-15,814,0.4375,1,0,9,14,0,0,128
8482070,R,2025-2026,Tampa Bay Lightning,NHL,10,0,0,0,4,-2,551,0.333333,0,0,0,0,0,0,9
8478519,C,2025-2026,Tampa Bay Lightning,NHL,71,23,29,52,48,38,1039,0.48186,3,1,3,4,2,4,125
8476878,C,2025-2026,Tampa Bay Lightning,NHL,73,9,10,19,31,0,884,0.440758,2,0,0,0,0,0,89
8482201,C,2025-2026,Tampa Bay Lightning,NHL,73,11,22,33,41,28,785,0.304348,2,0,0,2,0,0,77
8476826,C,2025-2026,Tampa Bay Lightning,NHL,81,9,19,28,66,-4,980,0.451724,2,0,0,0,0,0,113
8477404,C,2025-2026,Tampa Bay Lightning,NHL,81,38,50,88,61,13,1215,0.478261,5,2,8,30,2,2,220
8479542,L,2025-2026,Tampa Bay Lightning,NHL,70,36,38,74,58,34,1185,0.403226,6,0,5,12,1,1,209
8480995,R,2025-2026,Tampa Bay Lightning,NHL,70,11,11,22,31,1,801,0.365385,2,0,0,0,0,0,90
8483752,C,2025-2026,Tampa Bay Lightning,NHL,43,7,8,15,8,4,734,0.503623,0,0,0,0,0,0,56
8476453,R,2025-2026,Tampa Bay Lightning,NHL,75,44,86,130,50,44,1220,0.0,8,2,8,37,1,1,230
8477426,L,2025-2026,Tampa Bay Lightning,NHL,50,7,8,15,32,-14,811,0.543233,1,0,1,3,0,0,65
8481592,L,2025-2026,Tampa Bay Lightning,NHL,4,0,0,0,0,-1,533,1.0,0,0,0,0,0,0,3
8470621,R,2025-2026,Los Angeles Kings,NHL,50,11,17,28,59,-1,859,0.241379,0,0,4,11,0,0,87
8470621,R,2025-2026,Tampa Bay Lightning,NHL,21,5,3,8,20,0,721,0.0,2,0,1,2,0,0,22
8478010,C,2025-2026,Tampa Bay Lightning,NHL,63,18,32,50,14,12,1095,0.457887,0,0,6,11,0,0,129
8477149,R,2025-2026,Tampa Bay Lightning,NHL,25,1,3,4,89,0,469,0.0,0,0,0,0,0,0,10
8483398,D,2025-2026,Tampa Bay Lightning,NHL,41,1,2,3,40,7,881,0.0,0,0,0,0,0,0,33
8478416,D,2025-2026,Tampa Bay Lightning,NHL,60,3,8,11,74,3,1059,0.0,1,0,0,0,0,1,52
8481719,D,2025-2026,Tampa Bay Lightning,NHL,34,1,9,10,40,7,960,0.0,0,0,0,0,0,1,44
